sentence,tf-idf-sum
"I was supposed to stay in the seventh grade at the Montessori School, but when Jewish children were required to go to Jewish schools, Mr. Elte finally agreed, after a great deal of persuasion, to accept Lies Goslar and me.",31.25751074599235
"Then there’s a hired girl, the baby, the always absentminded and absent Mr. Goslar and the always nervous and irritable Mrs. Goslar, who’s expecting another baby.",28.691613100848784
"If Gabi doesn’t get her way, she starts screaming, and if Lies doesn’t look after her, Mrs. Goslar starts screaming.",21.33968521137272
"Mr. Kleiman has taken over Opekta, and Mr. Kugler, Gies & Co., the company dealing in spices and spice substitutes that was set up in 1941.",12.715637817534107
"Mrs. Goslar’s parents live next door, but eat with the family.",12.260635156988943
"So Lies has a hard time doing her homework, and as long as that’s the case, the tutoring she’s been getting won’t help much.",11.675832988815086
"It isn’t easy for her to study at home; her baby sister, a spoiled little two-year-old, plays in her room all day.",10.95723031328799
"So we’ll leave of our own accord and not wait to be hauled away.” “But when, Father?” He sounded so serious that I felt scared.",10.025303578551847
"I got one D, a C– in algebra and all the rest B’s, except for two B+’s and two B–’s.",9.437111545085196
"Lies also passed this year, though she has to repeat her geometry exam.",9.091289291801276
The Goslar household is really a sight.,8.71840409701442
My sister Margot has also gotten her report card.,8.59869773723427
"“Well, Anne,” he replied, “you know that for more than a year we’ve been bringing clothes, food and furniture to other people.",7.796637680835176
"A few days ago, as we were taking a stroll around our neighborhood square, Father began to talk about going into hiding.",7.771101717051003
The graduation ceremony in the Jewish Theater on Friday went as expected.,7.670447927977442
"They never worry about report cards, good or bad.",7.527054441057842
"If we had such a thing as “cum laude,” she would have passed with honors, she’s so smart.",6.8197827240646225
I was accepted to the Jewish Lyceum on a conditional basis.,6.596580095803583
"Lies, who’s all thumbs, gets lost in the mayhem.",6.513227006781456
"My parents are pleased, but they’re not like other parents when it comes to grades.",6.332165690132205
Poor Lies.,6.283638514480496
My report card wasn’t too bad.,6.195604229834571
He said it would be very hard for us to live cut off from the rest of the world.,5.396328038185024
"Oh, may these somber words not come true for as long as possible.",5.362054504009451
"As long as I’m healthy and happy and don’t talk back too much, they’re satisfied.",4.909201844949309
"The doorbell’s ringing, Hello’s here, time to stop.",4.351053005193627
Just enjoy your carefree life while you can.” That was it.,3.9413884362664255
"If these three things are all right, everything else will take care of itself.",3.9140507532479036
We don’t want our belongings to be seized by the Germans.,3.547832415286238
There’s nothing for him to do at the office; it must be awful to feel you’re not needed.,3.4029418541096508
Nor do we want to fall into their clutches ourselves.,2.869001778696233
Father has been home a lot lately.,2.8589942649038984
I asked him why he was bringing this up now.,2.658050130531419
We’ll take care of everything.,2.4972060244347842
I don’t want to be a poor student.,2.352750652118565
“Don’t you worry.,2.120689542562062
"Brilliant, as usual.",1.9539303068540796
I’m just the opposite.,1.1261688277159012
